Species1,Species2,Longevity
baboon,개코원숭이,20
black bear,흑곰,18
grizzly bear,회색곰,25
polar bear,북극곰,20
beaver,비버,5
buffalo,버팔로,15
camel,낙타,12
cat,고양이,12
chimpanzee,침팬지,20
chipmunk,다람쥐,6
cow,소,15
deer,사슴,8
dog,개,12
donkey,당나귀,12
elephant,코끼리,40
elk,엘크,15
fox,여우,7
giraffe,기린,10
goat,염소,8
gorilla,고릴라,20
guinea pig,기니피그,4
hippopotamus,하마,25
horse,말,20
kangaroo,캥거루,7
leopard,표범,12
lion,사자,15
monkey,원숭이,15
moose,무스,12
mouse,쥐,3
opossum,주머니쥐,1
pig,돼지,10
puma,푸마,12
rabbit,토끼,5
rhinoceros,코뿔소,15
sea lion,바다사자,12
sheep,양,12
squirrel,다람쥐,10
tiger,호랑이,16
wolf,늑대,5
zebra,얼룩말,15
